"Date","Price","Open","High","Low","Vol.","Change %"
"29-12-2024","3,402.64","3,406.53","3,409.30","3,377.09","161.02K","-0.06%"
"28-12-2024","3,404.65","3,333.87","3,427.77","3,322.30","175.99K","2.11%"
"27-12-2024","3,334.20","3,334.42","3,439.10","3,308.68","342.63K","-0.05%"
"26-12-2024","3,335.92","3,497.20","3,512.64","3,304.88","310.14K","-4.60%"
"25-12-2024","3,496.59","3,490.78","3,546.50","3,442.66","219.93K","0.09%"
"24-12-2024","3,493.29","3,420.03","3,539.52","3,359.78","315.48K","2.09%"
"23-12-2024","3,421.92","3,282.64","3,463.52","3,220.24","488.20K","4.28%"
"22-12-2024","3,281.56","3,337.88","3,401.89","3,223.32","361.96K","-1.71%"
"21-12-2024","3,338.56","3,470.50","3,555.18","3,294.13","475.29K","-3.90%"
"20-12-2024","3,474.20","3,418.72","3,496.32","3,103.74","1.33M","1.62%"
"19-12-2024","3,418.88","3,632.02","3,719.54","3,337.17","1.08M","-5.76%"
"18-12-2024","3,627.80","3,894.85","3,902.36","3,620.60","722.05K","-6.81%"
"17-12-2024","3,892.80","3,987.61","4,040.79","3,851.36","450.66K","-2.36%"
"16-12-2024","3,987.04","3,960.00","4,102.92","3,885.99","673.41K","0.68%"
"15-12-2024","3,960.00","3,867.39","3,973.52","3,832.00","253.82K","2.29%"
"14-12-2024","3,871.19","3,909.37","3,942.99","3,828.23","265.57K","-0.91%"
"13-12-2024","3,906.81","3,881.69","3,966.55","3,853.79","387.76K","0.65%"
"12-12-2024","3,881.61","3,831.81","3,985.39","3,797.60","572.14K","1.31%"
"11-12-2024","3,831.49","3,630.79","3,848.09","3,564.80","461.81K","5.58%"
"10-12-2024","3,629.00","3,711.63","3,778.62","3,521.81","942.26K","-2.42%"
"09-12-2024","3,719.10","4,005.00","4,005.00","3,550.50","939.65K","-7.09%"
"08-12-2024","4,002.82","3,998.99","4,015.19","3,924.72","251.18K","0.17%"
"07-12-2024","3,996.22","4,000.00","4,024.00","3,969.34","283.95K","-0.07%"
"06-12-2024","3,998.87","3,789.68","4,084.99","3,780.60","803.85K","5.65%"
"05-12-2024","3,785.10","3,837.01","3,950.20","3,696.01","946.48K","-1.33%"
"04-12-2024","3,836.01","3,617.68","3,885.59","3,616.20","968.74K","6.11%"
"03-12-2024","3,615.01","3,643.07","3,669.34","3,510.60","678.40K","-0.78%"
"02-12-2024","3,643.49","3,712.99","3,756.40","3,561.78","737.15K","-1.73%"
"01-12-2024","3,707.80","3,703.60","3,743.82","3,660.79","429.06K","0.14%"
"30-11-2024","3,702.78","3,591.73","3,733.17","3,573.00","503.68K","3.08%"
"29-11-2024","3,592.04","3,582.35","3,642.94","3,538.99","425.50K","0.38%"
